x_center,y_center,approx_size,box_x1,box_x2,box_y1,box_y2,mask_file
483,2426,293,467,497,2418,2440,483_2426.npy
396,2444,150,387,405,2437,2452,396_2444.npy
347,2503,203,334,360,2494,2509,347_2503.npy
213,2601,116,207,222,2593,2607,213_2601.npy
144,2673,48,141,148,2669,2678,144_2673.npy
270,2680,281,261,279,2669,2691,270_2680.npy
31,2698,78,26,36,2693,2704,31_2698.npy
116,2699,52,111,121,2695,2703,116_2699.npy
364,2962,62,360,368,2957,2968,364_2962.npy
319,3037,48,316,323,3033,3042,319_3037.npy
158,3125,1055,127,188,3114,3139,158_3125.npy
101,3133,783,81,119,3120,3151,101_3133.npy
196,3147,81,191,201,3143,3153,196_3147.npy
95,3228,552,66,116,3218,3242,95_3228.npy
234,3255,227,227,242,3245,3265,234_3255.npy
287,3250,146,279,298,3245,3257,287_3250.npy
33,3259,68,28,39,3256,3264,33_3259.npy
167,3266,196,150,180,3262,3271,167_3266.npy
97,3274,205,87,107,3268,3283,97_3274.npy
345,3298,741,332,362,3276,3326,345_3298.npy
293,3318,697,280,308,3290,3345,293_3318.npy
254,3313,412,241,269,3301,3330,254_3313.npy
139,3317,171,125,153,3312,3321,139_3317.npy
196,3323,133,186,205,3318,3328,196_3323.npy
311,3339,106,307,316,3331,3346,311_3339.npy
324,3357,388,310,341,3349,3367,324_3357.npy
357,3362,334,346,370,3353,3371,357_3362.npy
409,3410,880,395,423,3381,3437,409_3410.npy
352,3407,77,344,363,3401,3412,352_3407.npy
422,3466,60,417,427,3462,3471,422_3466.npy
479,3504,654,457,500,3492,3516,479_3504.npy
126,3588,141,121,132,3580,3600,126_3588.npy
487,3635,990,464,520,3605,3657,487_3635.npy
357,3670,218,342,370,3661,3677,357_3670.npy
74,3673,162,66,82,3667,3682,74_3673.npy
453,3768,193,441,465,3760,3776,453_3768.npy
257,3787,119,252,265,3782,3794,257_3787.npy
332,3799,264,321,346,3788,3808,332_3799.npy
73,3835,139,65,82,3828,3843,73_3835.npy
