x_center,y_center,approx_size,box_x1,box_x2,box_y1,box_y2,mask_file
4320,3057,50,4316,4325,3054,3061,4320_3057.npy
4958,3104,150,4947,4976,3097,3111,4958_3104.npy
4934,3120,305,4922,4948,3111,3130,4934_3120.npy
156,3127,131,146,168,3123,3132,156_3127.npy
4926,3200,337,4918,4937,3185,3214,4926_3200.npy
4911,3238,392,4904,4921,3210,3259,4911_3238.npy
4946,3229,286,4936,4956,3220,3239,4946_3229.npy
4924,3235,87,4920,4929,3229,3241,4924_3235.npy
4922,3281,1716,4887,4960,3245,3312,4922_3281.npy
4931,3317,41,4928,4934,3313,3322,4931_3317.npy
4974,3578,893,4963,4994,3536,3608,4974_3578.npy
3081,3953,166,3074,3088,3945,3962,3081_3953.npy
3105,4099,5274,3034,3181,4057,4165,3105_4099.npy
3493,4138,61,3490,3497,4131,4145,3493_4138.npy
417,4153,49,414,421,4149,4157,417_4153.npy
3025,4171,46,3022,3029,4167,4176,3025_4171.npy
3448,4183,42,3445,3451,4179,4188,3448_4183.npy
3469,4195,115,3461,3480,4190,4201,3469_4195.npy
3483,4257,680,3468,3496,4226,4281,3483_4257.npy
1107,4285,42,1104,1112,4282,4289,1107_4285.npy
3112,4370,101,3109,3118,4361,4379,3112_4370.npy
857,4372,53,854,861,4367,4378,857_4372.npy
3425,4404,510,3415,3437,4386,4423,3425_4404.npy
850,4398,147,844,855,4389,4410,850_4398.npy
3449,4405,160,3442,3457,4398,4413,3449_4405.npy
3472,4428,62,3464,3481,4424,4431,3472_4428.npy
3446,4431,51,3443,3450,4427,4438,3446_4431.npy
3185,4598,43221,3030,3352,4435,4783,3185_4598.npy
3426,4480,1475,3398,3443,4445,4517,3426_4480.npy
3347,4463,82,3343,3352,4458,4469,3347_4463.npy
3374,4513,214,3368,3382,4499,4524,3374_4513.npy
3408,4537,767,3390,3433,4523,4550,3408_4537.npy
1150,4537,174,1134,1162,4530,4547,1150_4537.npy
2416,4545,102,2411,2421,4539,4552,2416_4545.npy
3414,4567,125,3407,3423,4560,4576,3414_4567.npy
756,4568,85,752,762,4563,4573,756_4568.npy
3035,4578,85,3027,3043,4574,4583,3035_4578.npy
3518,4584,100,3513,3523,4578,4592,3518_4584.npy
3495,4611,135,3488,3508,4605,4619,3495_4611.npy
2315,4613,88,2311,2321,4606,4619,2315_4613.npy
4535,4614,90,4528,4544,4609,4620,4535_4614.npy
789,4666,2346,758,815,4625,4707,789_4666.npy
3492,4664,619,3475,3514,4641,4694,3492_4664.npy
1366,4672,135,1358,1373,4665,4681,1366_4672.npy
1409,4768,13205,1330,1479,4677,4846,1409_4768.npy
4509,4687,325,4496,4523,4680,4696,4509_4687.npy
3477,4729,2638,3417,3538,4698,4767,3477_4729.npy
3596,4732,67,3593,3601,4726,4738,3596_4732.npy
3444,4745,141,3437,3452,4739,4752,3444_4745.npy
3369,4851,2968,3336,3409,4815,4881,3369_4851.npy
1295,4839,788,1279,1316,4821,4856,1295_4839.npy
3416,4844,49,3412,3422,4841,4849,3416_4844.npy
3106,4901,3143,3062,3163,4854,4942,3106_4901.npy
2927,4889,81,2923,2933,4885,4895,2927_4889.npy
3182,4905,121,3175,3190,4900,4912,3182_4905.npy
3242,5002,20943,3130,3370,4908,5100,3242_5002.npy
1278,4925,415,1261,1295,4911,4938,1278_4925.npy
3139,4927,99,3131,3147,4922,4933,3139_4927.npy
1891,4960,84,1885,1898,4956,4966,1891_4960.npy
2481,4986,1644,2438,2510,4958,5014,2481_4986.npy
2385,4984,588,2361,2410,4969,4994,2385_4984.npy
1999,5031,1836,1972,2027,4996,5057,1999_5031.npy
1352,5005,153,1346,1359,4998,5014,1352_5005.npy
3306,5004,41,3304,3310,5000,5009,3306_5004.npy
1232,5020,768,1214,1257,5001,5038,1232_5020.npy
2688,5033,98,2683,2695,5028,5039,2688_5033.npy
1876,5060,225,1868,1884,5049,5074,1876_5060.npy
1952,5074,1058,1927,1978,5053,5098,1952_5074.npy
4125,5061,42,4120,4129,5058,5064,4125_5061.npy
4167,5069,173,4157,4180,5062,5077,4167_5069.npy
4141,5074,67,4137,4146,5069,5079,4141_5074.npy
4772,5089,46,4769,4776,5083,5095,4772_5089.npy
4784,5092,48,4780,4788,5089,5098,4784_5092.npy
3393,5104,327,3378,3411,5092,5116,3393_5104.npy
3081,5108,59,3077,3086,5103,5113,3081_5108.npy
3166,5116,44,3162,3170,5113,5120,3166_5116.npy
1585,5133,793,1558,1608,5118,5151,1585_5133.npy
4780,5127,523,4764,4807,5118,5139,4780_5127.npy
164,5128,181,157,174,5120,5135,164_5128.npy
231,5129,147,223,241,5121,5139,231_5129.npy
3076,5144,245,3067,3085,5135,5154,3076_5144.npy
222,5141,79,216,229,5137,5146,222_5141.npy
1950,5215,3840,1923,1979,5137,5267,1950_5215.npy
260,5150,221,252,271,5142,5157,260_5150.npy
4016,5152,177,4009,4024,5145,5161,4016_5152.npy
3879,5150,56,3876,3883,5146,5156,3879_5150.npy
3271,5152,134,3262,3282,5147,5157,3271_5152.npy
301,5155,175,291,309,5148,5163,301_5155.npy
1340,5156,82,1331,1349,5152,5161,1340_5156.npy
1321,5160,62,1317,1326,5156,5166,1321_5160.npy
3159,5161,48,3156,3162,5157,5168,3159_5161.npy
1696,5172,229,1688,1703,5159,5185,1696_5172.npy
4054,5165,166,4043,4064,5159,5174,4054_5165.npy
242,5164,93,236,248,5160,5170,242_5164.npy
1333,5179,328,1318,1347,5169,5190,1333_5179.npy
1735,5173,117,1727,1743,5169,5179,1735_5173.npy
1008,5185,641,987,1036,5173,5204,1008_5185.npy
441,5186,107,436,447,5180,5192,441_5186.npy
1369,5223,2088,1349,1396,5180,5261,1369_5223.npy
2335,5199,273,2326,2343,5189,5210,2335_5199.npy
1337,5204,196,1330,1344,5193,5214,1337_5204.npy
3124,5214,1085,3099,3163,5193,5236,3124_5214.npy
4139,5231,3812,4090,4189,5195,5271,4139_5231.npy
3507,5212,164,3497,3518,5206,5220,3507_5212.npy
1995,5217,52,1992,1999,5212,5223,1995_5217.npy
3045,5235,575,3030,3057,5212,5257,3045_5235.npy
278,5274,6573,186,368,5214,5324,278_5274.npy
353,5225,136,348,360,5217,5234,353_5225.npy
3676,5247,1993,3646,3707,5222,5277,3676_5247.npy
2074,5240,91,2069,2079,5231,5249,2074_5240.npy
4007,5238,96,4002,4014,5232,5243,4007_5238.npy
467,5245,194,458,477,5238,5252,467_5245.npy
3094,5251,46,3090,3098,5248,5256,3094_5251.npy
1587,5274,136,1580,1595,5269,5280,1587_5274.npy
3922,5286,226,3908,3932,5278,5294,3922_5286.npy
4194,5296,186,4187,4203,5286,5306,4194_5296.npy
2132,5390,10641,2063,2218,5290,5473,2132_5390.npy
3708,5300,121,3702,3714,5294,5307,3708_5300.npy
2081,5300,43,2078,2085,5296,5305,2081_5300.npy
284,5326,1250,261,306,5301,5352,284_5326.npy
1120,5318,164,1114,1125,5309,5329,1120_5318.npy
3946,5326,599,3934,3958,5310,5347,3946_5326.npy
392,5324,316,382,402,5312,5337,392_5324.npy
1978,5327,60,1974,1982,5323,5333,1978_5327.npy
2054,5350,52,2048,2060,5347,5355,2054_5350.npy
1848,5361,117,1842,1856,5356,5368,1848_5361.npy
3734,5376,103,3729,3738,5370,5385,3734_5376.npy
3516,5382,62,3512,3522,5378,5387,3516_5382.npy
4554,5383,97,4546,4562,5379,5387,4554_5383.npy
2233,5386,43,2230,2238,5383,5390,2233_5386.npy
4584,5391,96,4574,4593,5387,5397,4584_5391.npy
1433,5422,933,1416,1455,5393,5442,1433_5422.npy
1506,5405,291,1498,1517,5394,5417,1506_5405.npy
4646,5417,1169,4625,4668,5396,5441,4646_5417.npy
3775,5417,83,3771,3780,5412,5423,3775_5417.npy
2230,5437,125,2224,2238,5430,5445,2230_5437.npy
1557,5453,523,1541,1573,5439,5466,1557_5453.npy
1880,5455,563,1862,1896,5443,5467,1880_5455.npy
1257,5465,290,1246,1269,5456,5474,1257_5465.npy
2000,5485,171,1989,2014,5479,5491,2000_5485.npy
1843,5485,58,1840,1849,5480,5490,1843_5485.npy
4817,5537,6185,4722,4897,5483,5578,4817_5537.npy
4787,5490,155,4780,4795,5484,5498,4787_5490.npy
1297,5521,143,1290,1306,5515,5526,1297_5521.npy
334,5563,2934,302,361,5526,5602,334_5563.npy
2197,5535,42,2193,2201,5531,5539,2197_5535.npy
473,5543,48,470,478,5540,5549,473_5543.npy
468,5567,358,458,478,5550,5583,468_5567.npy
3463,5571,497,3446,3482,5563,5581,3463_5571.npy
4690,5572,53,4685,4695,5569,5575,4690_5572.npy
2241,5668,8485,2175,2307,5582,5749,2241_5668.npy
4797,5606,614,4782,4812,5588,5624,4797_5606.npy
3927,5592,59,3923,3932,5589,5597,3927_5592.npy
4758,5603,296,4750,4769,5592,5618,4758_5603.npy
4668,5598,52,4664,4673,5594,5602,4668_5598.npy
2324,5600,42,2321,2329,5597,5604,2324_5600.npy
2197,5622,92,2189,2205,5618,5628,2197_5622.npy
463,5629,115,458,469,5622,5637,463_5629.npy
2308,5630,77,2303,2314,5625,5636,2308_5630.npy
2207,5634,57,2204,2213,5630,5639,2207_5634.npy
4745,5672,2710,4690,4798,5637,5707,4745_5672.npy
82,5657,697,62,102,5639,5673,82_5657.npy
115,5658,316,104,126,5647,5670,115_5658.npy
343,5673,481,326,361,5658,5689,343_5673.npy
2115,5672,41,2112,2119,5668,5676,2115_5672.npy
1221,5673,92,1215,1228,5669,5678,1221_5673.npy
3932,5683,363,3918,3946,5671,5695,3932_5683.npy
1242,5692,302,1233,1252,5678,5710,1242_5692.npy
4299,5703,133,4294,4307,5692,5713,4299_5703.npy
3886,5709,285,3876,3896,5695,5723,3886_5709.npy
1219,5736,220,1212,1226,5723,5750,1219_5736.npy
2179,5733,162,2171,2187,5726,5742,2179_5733.npy
263,5733,80,258,268,5728,5741,263_5733.npy
2357,5765,1096,2337,2377,5734,5788,2357_5765.npy
300,5755,686,272,326,5742,5771,300_5755.npy
4379,5769,2401,4343,4419,5743,5795,4379_5769.npy
1971,5773,1333,1945,1998,5746,5796,1971_5773.npy
1207,5762,348,1190,1223,5751,5769,1207_5762.npy
3009,5763,86,3004,3015,5759,5770,3009_5763.npy
4878,5766,42,4874,4883,5763,5770,4878_5766.npy
3724,5771,126,3718,3731,5764,5778,3724_5771.npy
3813,5788,148,3807,3820,5781,5795,3813_5788.npy
4849,5812,769,4838,4864,5788,5852,4849_5812.npy
2003,5800,51,2000,2008,5796,5804,2003_5800.npy
4424,5817,58,4419,4430,5814,5822,4424_5817.npy
4463,5836,86,4458,4470,5832,5841,4463_5836.npy
3840,5853,499,3827,3853,5834,5872,3840_5853.npy
4641,5863,354,4631,4650,5847,5876,4641_5863.npy
4893,5853,164,4885,4901,5847,5860,4893_5853.npy
4215,5872,869,4198,4237,5850,5896,4215_5872.npy
4307,5886,2063,4270,4341,5858,5925,4307_5886.npy
4166,5894,2822,4133,4198,5860,5930,4166_5894.npy
4349,5869,258,4340,4359,5860,5879,4349_5869.npy
4858,5936,6519,4786,4920,5861,5996,4858_5936.npy
4590,5867,80,4586,4596,5863,5873,4590_5867.npy
3880,5880,588,3865,3894,5865,5898,3880_5880.npy
4750,5890,575,4731,4765,5876,5914,4750_5890.npy
2103,5881,47,2100,2106,5877,5887,2103_5881.npy
4963,5885,191,4953,4973,5878,5893,4963_5885.npy
3705,5897,298,3696,3718,5884,5911,3705_5897.npy
4214,5891,44,4211,4219,5888,5895,4214_5891.npy
4944,5900,90,4938,4950,5895,5906,4944_5900.npy
2111,5981,6287,2065,2158,5899,6070,2111_5981.npy
4125,5903,44,4121,4129,5900,5907,4125_5903.npy
4041,5911,199,4033,4049,5901,5921,4041_5911.npy
4084,5912,138,4078,4091,5906,5921,4084_5912.npy
4295,5963,1803,4253,4332,5917,5995,4295_5963.npy
3736,5965,2274,3698,3766,5924,6007,3736_5965.npy
3814,5931,106,3808,3820,5925,5939,3814_5931.npy
4312,5933,163,4305,4320,5926,5941,4312_5933.npy
3997,5954,1858,3947,4041,5929,5985,3997_5954.npy
2089,5938,79,2085,2095,5933,5943,2089_5938.npy
4141,5956,134,4135,4146,5947,5965,4141_5956.npy
4772,5952,47,4768,4776,5948,5957,4772_5952.npy
2258,6044,12619,2146,2358,5957,6141,2258_6044.npy
3690,6014,621,3674,3704,5998,6031,3690_6014.npy
2439,6015,59,2435,2444,6011,6021,2439_6015.npy
2411,6021,157,2399,2422,6017,6027,2411_6021.npy
2373,6021,46,2369,2380,6018,6026,2373_6021.npy
2350,6027,42,2347,2354,6024,6032,2350_6027.npy
2452,6029,70,2447,2458,6026,6034,2452_6029.npy
3662,6041,76,3657,3667,6035,6047,3662_6041.npy
2142,6076,266,2132,2151,6064,6087,2142_6076.npy
2221,6107,498,2211,2230,6086,6125,2221_6107.npy
4763,6114,1433,4741,4782,6089,6139,4763_6114.npy
1291,6129,921,1263,1315,6107,6148,1291_6129.npy
2209,6174,1431,2177,2249,6153,6203,2209_6174.npy
4009,6163,75,4004,4015,6159,6168,4009_6163.npy
3778,6175,935,3752,3809,6161,6188,3778_6175.npy
4048,6220,103,4043,4055,6215,6227,4048_6220.npy
4617,6277,1601,4591,4644,6254,6302,4617_6277.npy
4568,6286,64,4565,4571,6278,6296,4568_6286.npy
4597,6309,215,4588,4606,6302,6317,4597_6309.npy
4586,6345,536,4574,4601,6327,6366,4586_6345.npy
4527,6361,75,4524,4532,6355,6367,4527_6361.npy
4133,6463,1003,4108,4157,6448,6479,4133_6463.npy
3683,6471,360,3671,3700,6461,6483,3683_6471.npy
3644,6476,203,3631,3659,6471,6481,3644_6476.npy
4249,6493,97,4241,4257,6489,6498,4249_6493.npy
3939,6563,150,3930,3947,6556,6573,3939_6563.npy
4823,6601,141,4816,4831,6591,6610,4823_6601.npy
4833,6708,61,4830,4837,6700,6715,4833_6708.npy
4329,6727,107,4325,4335,6720,6736,4329_6727.npy
4745,6757,1068,4723,4769,6732,6784,4745_6757.npy
4307,6755,366,4293,4321,6741,6771,4307_6755.npy
4578,6766,662,4557,4599,6748,6792,4578_6766.npy
4691,6770,292,4679,4703,6759,6782,4691_6770.npy
4592,6790,52,4588,4597,6787,6794,4592_6790.npy
32,6818,81,28,37,6812,6825,32_6818.npy
4577,6818,59,4573,4582,6814,6824,4577_6818.npy
4299,7125,136,4292,4311,7116,7133,4299_7125.npy
4085,7307,151,4079,4092,7300,7314,4085_7307.npy
3525,8371,161,3518,3532,8363,8380,3525_8371.npy
4911,3249,73,4908,4916,3242,3256,4911_3249.npy
4911,3287,560,4891,4926,3272,3308,4911_3287.npy
6854,3446,66,6850,6859,3440,3453,6854_3446.npy
6757,3457,70,6753,6763,3450,3465,6757_3457.npy
6236,3500,49,6232,6241,3496,3506,6236_3500.npy
6877,3520,160,6865,6888,3510,3533,6877_3520.npy
6850,3533,171,6844,6860,3518,3542,6850_3533.npy
4969,3559,95,4967,4972,3547,3571,4969_3559.npy
4974,3590,207,4969,4983,3579,3602,4974_3590.npy
7407,3887,1185,7391,7426,3854,3919,7407_3887.npy
