x_center,y_center,approx_size,box_x1,box_x2,box_y1,box_y2,mask_file
26079,2396,67,26073,26085,2393,2400,26079_2396_a3HxDbQ.npy
26136,2410,3004,26086,26182,2393,2441,26136_2410_vgNisww.npy
26257,2431,5157,26162,26335,2393,2522,26257_2431_CSWh7Pc.npy
22922,2405,575,22906,22939,2394,2419,22922_2405_tN3Q_8c.npy
22892,2398,38,22888,22897,2396,2402,22892_2398_7VTBz70.npy
26040,2400,65,26036,26046,2396,2405,26040_2400_c81ni9c.npy
26005,2412,252,25994,26017,2402,2422,26005_2412_9T8sjok.npy
26046,2437,1060,26028,26067,2411,2465,26046_2437_WVgldkM.npy
22945,2420,88,22940,22951,2414,2427,22945_2420_uZjr22U.npy
25983,2427,42,25979,25988,2423,2431,25983_2427_EeoiCMU.npy
26299,2437,308,26290,26315,2427,2448,26299_2437_4tQ_szw.npy
26390,2434,61,26387,26395,2429,2439,26390_2434_qXmQM5U.npy
26399,2434,47,26395,26404,2431,2438,26399_2434_-3vf-oQ.npy
22968,2446,63,22964,22973,2442,2452,22968_2446_adxH1Fg.npy
26143,2450,62,26139,26151,2447,2456,26143_2450_He5uOeo.npy
26377,2455,62,26373,26381,2451,2460,26377_2455_WWLAwCg.npy
26138,2461,40,26135,26142,2458,2466,26138_2461_Jh3xLqU.npy
26428,2468,109,26423,26434,2462,2475,26428_2468_j26EPU0.npy
26392,2477,606,26379,26409,2464,2500,26392_2477_2ICVdn8.npy
26449,2512,136,26442,26456,2511,2526,26449_2512_GAalTrE.npy
26307,2608,158,26299,26314,2600,2616,26307_2608_uPemP6k.npy
26344,2682,141,26339,26352,2673,2691,26344_2682_bHUT61k.npy
23802,3253,109,23797,23810,3246,3260,23802_3253_t0S97Vo.npy
23749,3253,80,23745,23754,3247,3259,23749_3253_uxepFFY.npy
23787,3272,82,23783,23795,3267,3280,23787_3272_jiFAI0U.npy
23793,3299,738,23768,23817,3280,3322,23793_3299_Q2rwo6o.npy
23932,3479,45211,23785,24065,3297,3628,23932_3479_AGhEFg0.npy
23941,3321,41,23937,23946,3319,3325,23941_3321_hSzUPHo.npy
23784,3338,102,23778,23793,3329,3347,23784_3338_BGS3KvQ.npy
24172,3389,46,24169,24176,3385,3393,24172_3389_W5srYYs.npy
24155,3423,46,24151,24159,3419,3427,24155_3423_9HK2VO0.npy
24199,3440,104,24192,24205,3432,3448,24199_3440_G3YDrFU.npy
24162,3443,28,24159,24165,3440,3448,24162_3443_SJ-maQ8.npy
24062,3490,183,24055,24071,3475,3503,24062_3490_5SlCe44.npy
24089,3521,364,24077,24103,3508,3534,24089_3521_woHVdpE.npy
14740,3538,68,14736,14744,3532,3545,14740_3538_tSHAMnc.npy
23775,3571,129,23770,23782,3563,3578,23775_3571_WC5WRIE.npy
23897,3567,142,23889,23907,3563,3573,23897_3567_jR9Ddgs.npy
23796,3578,97,23790,23802,3572,3585,23796_3578_XVyqJsY.npy
23873,3593,781,23850,23893,3573,3609,23873_3593_5Qf_mAA.npy
23820,3608,92,23815,23827,3604,3614,23820_3608_C9N8sQg.npy
24030,3626,31,24027,24033,3622,3630,24030_3626_jUHmhf8.npy
23923,3628,31,23921,23927,3625,3632,23923_3628_tXf6-aA.npy
23920,3640,174,23911,23928,3633,3648,23920_3640_5pWdN3o.npy
24169,3743,26484,24048,24265,3635,3891,24169_3743_N-2KOKE.npy
23904,3641,71,23901,23909,3636,3649,23904_3641_oEYY1Qk.npy
24051,3653,100,24045,24059,3645,3660,24051_3653_jjnEilc.npy
23894,3665,270,23881,23910,3659,3673,23894_3665_nHXVbLM.npy
14359,3673,133,14354,14366,3667,3681,14359_3673_12a5XDI.npy
14338,3697,169,14332,14345,3689,3710,14338_3697_0n8h5EY.npy
32141,3709,126,32131,32150,3704,3715,32141_3709_W8JlwyA.npy
14415,3719,781,14381,14447,3705,3735,14415_3719_iH14cnM.npy
26426,3739,27,26424,26429,3736,3742,26426_3739_e96himg.npy
14406,3746,60,14402,14411,3742,3751,14406_3746_2uch_zg.npy
14448,3765,31,14444,14453,3763,3768,14448_3765_Mm8oZfI.npy
14469,3773,132,14464,14476,3765,3783,14469_3773_E-gd8Ms.npy
14399,3815,857,14383,14411,3789,3838,14399_3815_uaflLEI.npy
24194,3800,44,24190,24198,3797,3805,24194_3800_gxHIAcQ.npy
23984,3821,29,23982,23987,3818,3825,23984_3821_JWF8SU4.npy
24059,3852,140,24053,24068,3845,3858,24059_3852_rhvpME8.npy
24028,4018,53623,23840,24194,3849,4240,24028_4018_OgQUrhE.npy
23823,3873,66,23818,23830,3870,3878,23823_3873_JKL1YPs.npy
24291,3899,238,24281,24302,3888,3912,24291_3899_JKIFBnw.npy
24325,3931,166,24319,24332,3922,3941,24325_3931_cQmzwW4.npy
23905,3960,2624,23870,23947,3936,3988,23905_3960_KfWh70c.npy
32274,3983,295,32268,32282,3966,3999,32274_3983_ue-NPy4.npy
24171,3970,57,24167,24177,3967,3975,24171_3970_gHOM26o.npy
23851,3989,747,23835,23872,3972,4009,23851_3989_vt_C1rg.npy
16879,4012,220,16868,16889,4002,4023,16879_4012__KM_tbA.npy
24226,4021,184,24219,24235,4014,4031,24226_4021_5eHBHAc.npy
24364,4017,48,24360,24368,4014,4022,24364_4017_CtsjWK4.npy
24354,4038,135,24346,24361,4032,4046,24354_4038_R_euoOs.npy
24235,4048,57,24229,24241,4045,4051,24235_4048_fSB-QrA.npy
23909,4052,34,23907,23912,4048,4057,23909_4052_6oJ4hQc.npy
31770,4068,640,31755,31787,4053,4083,31770_4068_0MwiLIU.npy
24750,4060,67,24747,24754,4055,4066,24750_4060_rWFTpXs.npy
29606,4064,37,29604,29609,4058,4069,29606_4064_fBUuVG0.npy
32196,4065,41,32193,32200,4061,4070,32196_4065_B4qQmkM.npy
27621,4083,78,27618,27626,4078,4090,27621_4083_yPsOXnw.npy
23924,4094,220,23912,23935,4087,4102,23924_4094_-y26ppQ.npy
31183,4117,1132,31163,31203,4098,4143,31183_4117_x8jazVk.npy
32127,4111,821,32092,32156,4099,4124,32127_4111_Ph-HS1g.npy
32861,4103,40,32858,32865,4100,4107,32861_4103_yZ6ErWc.npy
31297,4111,185,31289,31304,4103,4122,31297_4111_XNgJbPg.npy
31257,4153,4530,31215,31303,4117,4196,31257_4153_KAs1uSw.npy
32069,4149,851,32044,32089,4117,4172,32069_4149_46tP0fQ.npy
417,4153,61,413,421,4148,4158,417_4153_YPElwsI.npy
31017,4182,1811,30989,31043,4154,4209,31017_4182_06n-NOM.npy
32692,4169,306,32683,32703,4157,4181,32692_4169_WZY0b_E.npy
31065,4167,90,31060,31070,4160,4175,31065_4167_gDXQmxE.npy
32717,4190,143,32709,32726,4183,4199,32717_4190_HQD6JjI.npy
23847,4195,182,23841,23855,4187,4204,23847_4195_cWJ_cgc.npy
31167,4271,6152,31087,31221,4207,4325,31167_4271_b2bg6jM.npy
31045,4226,355,31036,31055,4210,4243,31045_4226_C9hY5ac.npy
24083,4233,1155,24056,24109,4213,4253,24083_4233_OJp1-pA.npy
31257,4219,36,31255,31261,4215,4223,31257_4219_5dQG9P0.npy
24017,4237,37,24013,24022,4235,4241,24017_4237_L9bOehM.npy
24119,4251,45,24114,24125,4247,4255,24119_4251_358OR80.npy
31096,4255,53,31092,31102,4252,4259,31096_4255_n018WFs.npy
24074,4258,43,24070,24078,4255,4262,24074_4258_46heC-E.npy
31082,4283,49,31077,31086,4280,4288,31082_4283_hoL8SaM.npy
121,4314,1686,81,166,4283,4338,121_4314_CvBFwiY.npy
15656,4331,2924,15626,15701,4286,4380,15656_4331__5Mcdo8.npy
31987,4307,29,31983,31992,4305,4310,31987_4307_8sORCr8.npy
15685,4315,54,15681,15690,4312,4320,15685_4315_vRuckJw.npy
22,4329,127,16,31,4321,4338,22_4329_ZkIHCiQ.npy
24100,4330,200,24090,24110,4324,4336,24100_4330_eE_Rngw.npy
49,4340,423,36,59,4326,4355,49_4340_25N9P5s.npy
120,4359,109,112,128,4354,4364,120_4359_kA2EAb4.npy
32743,4387,3266,32688,32793,4357,4423,32743_4387_j1iAGWk.npy
32633,4368,35,32629,32638,4365,4371,32633_4368_yI6dGpg.npy
33500,4382,136,33492,33509,4375,4390,33500_4382_wXiTNdc.npy
138,4385,162,132,144,4377,4395,138_4385_eFWSWkQ.npy
33561,4394,91,33554,33567,4390,4399,33561_4394_dyy3YW0.npy
92,4405,45,89,96,4402,4410,92_4405_x21BwlU.npy
33568,4406,44,33566,33572,4402,4412,33568_4406_QvxBGDI.npy
23545,4413,93,23539,23551,4408,4418,23545_4413_OArbS7c.npy
335,4478,2439,311,364,4417,4530,335_4478_bBeGMUo.npy
33561,4425,244,33552,33572,4417,4433,33561_4425_4VVhQn8.npy
111,4430,237,103,119,4421,4443,111_4430_mS56yRM.npy
33244,4437,377,33231,33259,4424,4451,33244_4437_tabxJbE.npy
33073,4439,181,33066,33080,4432,4449,33073_4439_t5vNozo.npy
32973,4436,31,32970,32977,4433,4439,32973_4436_IYUu1n8.npy
24277,4465,2976,24215,24349,4434,4491,24277_4465_Pb1k-BU.npy
218,4443,77,214,224,4437,4449,218_4443_CltRmgM.npy
92,4444,53,88,97,4440,4449,92_4444_GhyB4Jo.npy
24016,4473,6519,23934,24091,4441,4511,24016_4473_bai2Jlg.npy
307,4450,61,304,312,4446,4455,307_4450_Qt2Reuk.npy
33091,4580,31968,32993,33202,4451,4710,33091_4580_ddUijGw.npy
180,4466,66,177,185,4461,4471,180_4466_C5072iw.npy
